tfclass:id	tfclass:superclass	tfclass:class	tfclass:family	tfclass:subfamily	curated:uniprot_ac	tfclass:source	curated:uniprot_id	auto:protein_name	auto:gene_symbol	auto:gene_synonyms	auto:hgnc	auto:mgi	auto:entrez	GRECO_dbTF
0.0.5.0.2	Yet undefined DNA-binding domains	Uncharacterized	PUR		Q96QR8	http://tfclass.bioinf.med.uni-goettingen.de/	PURB_HUMAN	Transcriptional activator protein Pur-beta (Purine-rich element-binding protein B)	PURB		9702;		5814;	yes
0.0.5.0.2	Yet undefined DNA-binding domains	Uncharacterized	PUR		O35295	http://tfclass.bioinf.med.uni-goettingen.de/	PURB_MOUSE	Transcriptional activator protein Pur-beta (Purine-rich element-binding protein B) (Vascular actin single-stranded DNA-binding factor 2 p44 component)	Purb			1338779;	19291;	yes
0.0.5.0.3	Yet undefined DNA-binding domains	Uncharacterized	PUR		Q9UJV8	http://tfclass.bioinf.med.uni-goettingen.de/	PURG_HUMAN	Purine-rich element-binding protein gamma (Purine-rich element-binding protein G)	PURG		17930;		29942;	yes
0.0.5.0.3	Yet undefined DNA-binding domains	Uncharacterized	PUR		Q8R4E6	http://tfclass.bioinf.med.uni-goettingen.de/	PURG_MOUSE	Purine-rich element-binding protein gamma	Purg			1922279;	75029;	yes
0.0.6.0.1	Yet undefined DNA-binding domains	Uncharacterized	NRF		Q16656	http://tfclass.bioinf.med.uni-goettingen.de/	NRF1_HUMAN	Nuclear respiratory factor 1 (NRF-1) (Alpha palindromic-binding protein) (Alpha-pal)	NRF1		7996;		4899;	yes
0.0.6.0.1	Yet undefined DNA-binding domains	Uncharacterized	NRF		Q9WU00	http://tfclass.bioinf.med.uni-goettingen.de/	NRF1_MOUSE	Nuclear respiratory factor 1 (NRF-1) (Alpha palindromic-binding protein) (Alpha-pal)	Nrf1			1332235;	18181;	yes
0.0.7.0.1	Yet undefined DNA-binding domains	Uncharacterized	SPEN		Q96T58	http://genexplain.com/tfclass/huTF_classification.html	MINT_HUMAN	Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog)	SPEN	KIAA0929 MINT SHARP	17575;		23013;	no
0.0.7.0.1	Yet undefined DNA-binding domains	Uncharacterized	SPEN		Q62504	http://genexplain.com/tfclass/huTF_classification.html	MINT_MOUSE	Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog)	Spen	Kiaa0929 Mint Sharp		1891706;	56381;	no
0.0.9.0.1	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		O75541	manual	ZN821_HUMAN	Zinc finger protein 821	ZN821		28043;		55565;	yes
0.0.9.0.1	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		Q6PD05	manual	ZN821_MOUSE	Zinc finger protein 821	Zn821	Zfp821		1923121;		yes
0.0.9.0.2	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		Q6ZNC4	manual	ZN704_HUMAN	Zinc finger protein 704	ZN704		32291;		619279;	yes
0.0.9.0.2	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		Q9ERQ3	manual	ZN704_MOUSE	Zinc finger protein 704	Zn704	Gig1 Zfp704		2180715;	170753;	yes
0.0.9.0.3	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		Q9BUZ4	manual	TRAF4_HUMAN	TNF receptor-associated factor 4	TRAF4	CART1 MLN62 RNF83	12034;		9618;	no
0.0.9.0.3	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		Q61382	manual	TRAF4_MOUSE	TNF receptor-associated factor 4	Traf4	Cart1		1202880;	22032;	no
0.0.9.0.4	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		Q2VWA4	manual	SKOR2_HUMAN	SKI family transcriptional corepressor 2	SKOR2	CORL2 FUSSEL18	32695;		652991;	yes
0.0.9.0.4	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		A7M7C7	manual	SKOR2_MOUSE	SKI family transcriptional corepressor 2	Skor2	Corl2		3645984;	664805;	yes
0.0.9.0.5	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		P84550	manual	SKOR1_HUMAN	SKI family transcriptional corepressor 1	SKOR1	CORL1 FUSSEL15 LBXCOR1	21326;		390598;	yes
0.0.9.0.5	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		Q8BX46	manual	SKOR1_MOUSE	SKI family transcriptional corepressor 1	Skor1	Corl1 Lbxcor1		2443473;	207667;	yes
0.0.9.0.6	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		Q5VZF2	manual	MBNL2_HUMAN	Muscleblind-like protein 2	MBNL2	MBLL MBLL39 MLP1	16746;		10150;	no
0.0.9.0.6	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		Q8C181	manual	MBNL2_MOUSE	Muscleblind-like protein 2	Mbnl2	Kiaa4072		2145597;	105559;	no
0.0.9.0.7	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		Q92782	manual	DPF1_HUMAN	Zinc finger protein neuro-d4	DPF1	BAF45B NEUD4	20225;		8193;	no
0.0.9.0.7	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		Q9QX66	manual	DPF1_MOUSE	Zinc finger protein neuro-d4	Dpf1	Baf45b Neud4		1352748;	29861;	no
0.0.9.0.8	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		Q9BZB8	manual	CPEB1_HUMAN	Cytoplasmic polyadenylation element-binding protein 1	CPEB1	CPEB	21744;		64506;	no
0.0.9.0.8	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		P70166	manual	CPEB1_MOUSE	Cytoplasmic polyadenylation element-binding protein 1	Cpeb1			108442;	12912;	no
0.0.9.0.255	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		Q9UFW8	manual	CGBP1_HUMAN		CGGBP1					no
0.0.9.0.255	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		Q8BHG9	manual	CGBP1_MOUSE		Cggbp1					no
0.0.9.0.256	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		Q9UGU0	manual	TCF20_HUMAN		TCF20					no
0.0.9.0.256	Yet undefined DNA-binding domains	Uncharacterized	Unannotated		Q9EPQ8	manual	TCF20_MOUSE		Tcf20					no
0.0.9.1.1	Yet undefined DNA-binding domains	Uncharacterized	Unannotated	DACH	Q9UI36	manual	DACH1_HUMAN		DACH1					yes
0.0.9.1.1	Yet undefined DNA-binding domains	Uncharacterized	Unannotated	DACH	Q9QYB2	manual	DACH1_MOUSE		Dach1					yes
0.0.9.1.2	Yet undefined DNA-binding domains	Uncharacterized	Unannotated	DACH	Q96NX9	manual	DACH2_HUMAN		DACH2					yes
0.0.9.1.2	Yet undefined DNA-binding domains	Uncharacterized	Unannotated	DACH	Q925Q8	manual	DACH2_MOUSE		Dach2					yes
0.1.1.0.1	Yet undefined DNA-binding domains	AXUD/CSRNP domain factors	CSRNP		Q96S65	http://tfclass.bioinf.med.uni-goettingen.de/	CSRN1_HUMAN	Cysteine/serine-rich nuclear protein 1 (CSRNP-1) (Axin-1 up-regulated gene 1 protein) (Protein URAX1) (TGF-beta-induced apoptosis protein 3) (TAIP-3)	CSRNP1	AXUD1 TAIP3	14300;		64651;	yes
0.1.1.0.1	Yet undefined DNA-binding domains	AXUD/CSRNP domain factors	CSRNP		P59054	http://tfclass.bioinf.med.uni-goettingen.de/	CSRN1_MOUSE	Cysteine/serine-rich nuclear protein 1 (CSRNP-1) (Axin-1 up-regulated gene 1 protein) (TGF-beta-induced apoptosis protein 3) (TAIP-3)	Csrnp1	Axud1 Taip3		2387989;	215418;	yes
0.1.1.0.2	Yet undefined DNA-binding domains	AXUD/CSRNP domain factors	CSRNP		Q9H175	http://tfclass.bioinf.med.uni-goettingen.de/	CSRN2_HUMAN	Cysteine/serine-rich nuclear protein 2 (CSRNP-2) (Protein FAM130A1) (TGF-beta-induced apoptosis protein 12) (TAIP-12)	CSRNP2	C12orf22 FAM130A1 TAIP12	16006;		81566;	yes
0.1.1.0.2	Yet undefined DNA-binding domains	AXUD/CSRNP domain factors	CSRNP		Q8BGQ2	http://tfclass.bioinf.med.uni-goettingen.de/	CSRN2_MOUSE	Cysteine/serine-rich nuclear protein 2 (CSRNP-2) (Protein FAM130A1) (TGF-beta-induced apoptosis protein 12) (TAIP-12)	Csrnp2	Fam130a1 Taip12		2386852;	207785;	yes
0.1.1.0.3	Yet undefined DNA-binding domains	AXUD/CSRNP domain factors	CSRNP		Q8WYN3	http://tfclass.bioinf.med.uni-goettingen.de/	CSRN3_HUMAN	Cysteine/serine-rich nuclear protein 3 (CSRNP-3) (Protein FAM130A2) (TGF-beta-induced apoptosis protein 2) (TAIP-2)	CSRNP3	FAM130A2 TAIP2	30729;		80034;	yes
0.1.1.0.3	Yet undefined DNA-binding domains	AXUD/CSRNP domain factors	CSRNP		P59055	http://tfclass.bioinf.med.uni-goettingen.de/	CSRN3_MOUSE	Cysteine/serine-rich nuclear protein 3 (CSRNP-3) (Protein FAM130A2) (TGF-beta-induced apoptosis protein 2) (TAIP-2)	Csrnp3	Fam130a2 Mbu1 Taip2		1925021;	77771;	yes
0.2.1.0.1	Yet undefined DNA-binding domains	NonO domain factors	NonO-related		Q15233	http://tfclass.bioinf.med.uni-goettingen.de/	NONO_HUMAN	Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein) (55 kDa nuclear protein) (DNA-binding p52/p100 complex, 52 kDa subunit) (NMT55) (p54 (nrb)) (p54nrb)	NONO	NRB54	7871;		4841;	no
0.2.1.0.1	Yet undefined DNA-binding domains	NonO domain factors	NonO-related		Q99K48	http://tfclass.bioinf.med.uni-goettingen.de/	NONO_MOUSE	Non-POU domain-containing octamer-binding protein (NonO protein)	Nono			1855692;	53610;	no
0.2.1.0.2	Yet undefined DNA-binding domains	NonO domain factors	NonO-related		P23246	http://tfclass.bioinf.med.uni-goettingen.de/	SFPQ_HUMAN	Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)	SFPQ	PSF	10774;		6421;	no
0.2.1.0.2	Yet undefined DNA-binding domains	NonO domain factors	NonO-related		Q8VIJ6	http://tfclass.bioinf.med.uni-goettingen.de/	SFPQ_MOUSE	Splicing factor, proline- and glutamine-rich (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)	Sfpq	Psf		1918764;	71514;	no
0.2.1.0.3	Yet undefined DNA-binding domains	NonO domain factors	NonO-related		Q8WXF1	http://tfclass.bioinf.med.uni-goettingen.de/	PSPC1_HUMAN	Paraspeckle component 1 (Paraspeckle protein 1)	PSPC1	PSP1	20320;		55269;	no
0.2.1.0.3	Yet undefined DNA-binding domains	NonO domain factors	NonO-related		Q8R326	http://tfclass.bioinf.med.uni-goettingen.de/	PSPC1_MOUSE	Paraspeckle component 1 (Paraspeckle protein 1) (mPSP1)	Pspc1	Psp1		1913895;	66645;	no
0.3.1.0.1	Yet undefined DNA-binding domains	Leucine-rich repeat flightless-interacting proteins	LRRFIP		Q32MZ4	http://tfclass.bioinf.med.uni-goettingen.de/	LRRF1_HUMAN	Leucine-rich repeat flightless-interacting protein 1 (LRR FLII-interacting protein 1) (GC-binding factor 2) (TAR RNA-interacting protein)	LRRFIP1	GCF2 TRIP	6702;		9208;	yes
0.3.1.0.1	Yet undefined DNA-binding domains	Leucine-rich repeat flightless-interacting proteins	LRRFIP		Q3UZ39	http://tfclass.bioinf.med.uni-goettingen.de/	LRRF1_MOUSE	Leucine-rich repeat flightless-interacting protein 1 (LRR FLII-interacting protein 1) (FLI-LRR-associated protein 1) (Flap-1) (H186 FLAP)	Lrrfip1	Flap		1342770;	16978;	yes
0.3.1.0.2	Yet undefined DNA-binding domains	Leucine-rich repeat flightless-interacting proteins	LRRFIP		Q9Y608	http://tfclass.bioinf.med.uni-goettingen.de/	LRRF2_HUMAN	Leucine-rich repeat flightless-interacting protein 2 (LRR FLII-interacting protein 2)	LRRFIP2		6703;		9209;	no
0.3.1.0.2	Yet undefined DNA-binding domains	Leucine-rich repeat flightless-interacting proteins	LRRFIP		Q91WK0	http://tfclass.bioinf.med.uni-goettingen.de/	LRRF2_MOUSE	Leucine-rich repeat flightless-interacting protein 2 (LRR FLII-interacting protein 2)	Lrrfip2			1918518;	71268;	no
0.4.1.0.1	Yet undefined DNA-binding domains	NFX1-type putative zinc finger factors	NFX1		Q12986	http://tfclass.bioinf.med.uni-goettingen.de/	NFX1_HUMAN	Transcriptional repressor NF-X1 (EC 2.3.2.-) (Nuclear transcription factor, X box-binding protein 1)	NFX1	NFX2	7803;		4799;	yes
0.4.1.0.1	Yet undefined DNA-binding domains	NFX1-type putative zinc finger factors	NFX1		B1AY10	http://tfclass.bioinf.med.uni-goettingen.de/	NFX1_MOUSE	Transcriptional repressor NF-X1 (m-Nfx.1) (EC 2.3.2.-) (Nuclear transcription factor, X box-binding protein 1)	Nfx1			1921414;	74164;	yes
0.4.1.0.2	Yet undefined DNA-binding domains	NFX1-type putative zinc finger factors	NFX1		Q6ZNB6	http://tfclass.bioinf.med.uni-goettingen.de/	NFXL1_HUMAN	NF-X1-type zinc finger protein NFXL1 (Ovarian zinc finger protein) (hOZFP)	NFXL1	OZFP	18726;		152518;	yes
0.4.1.0.3	Yet undefined DNA-binding domains	NFX1-type putative zinc finger factors	NFX1		Q9P2E3	http://tfclass.bioinf.med.uni-goettingen.de/	ZNFX1_HUMAN	NFX1-type zinc finger-containing protein 1	ZNFX1	KIAA1404	29271;		57169;	no
0.4.1.0.3	Yet undefined DNA-binding domains	NFX1-type putative zinc finger factors	NFX1		Q8R151	http://tfclass.bioinf.med.uni-goettingen.de/	ZNFX1_MOUSE	NFX1-type zinc finger-containing protein 1	Znfx1			2138982;	98999;	no
0.5.1.0.1	Yet undefined DNA-binding domains	GTF2I domain factors	TFII-I-related		P78347	http://genexplain.com/tfclass/huTF_classification.html	GTF2I_HUMAN	General transcription factor II-I (GTFII-I) (TFII-I) (Bruton tyrosine kinase-associated protein 135) (BAP-135) (BTK-associated protein 135) (SRF-Phox1-interacting protein) (SPIN) (Williams-Beuren syndrome chromosomal region 6 protein)	GTF2I	BAP135 WBSCR6	4659;		2969;	yes
0.5.1.0.1	Yet undefined DNA-binding domains	GTF2I domain factors	TFII-I-related		Q9ESZ8	http://genexplain.com/tfclass/huTF_classification.html	GTF2I_MOUSE	General transcription factor II-I (GTFII-I) (TFII-I) (Bruton tyrosine kinase-associated protein 135) (BAP-135) (BTK-associated protein 135)	Gtf2i	Bap135 Diws1t		1202722;	14886;	yes
0.5.1.0.2	Yet undefined DNA-binding domains	GTF2I domain factors	TFII-I-related		Q9UHL9	http://genexplain.com/tfclass/huTF_classification.html	GT2D1_HUMAN	General transcription factor II-I repeat domain-containing protein 1 (GTF2I repeat domain-containing protein 1) (General transcription factor III) (MusTRD1/BEN) (Muscle TFII-I repeat domain-containing protein 1) (Slow-muscle-fiber enhancer-binding protein) (USE B1-binding protein) (Williams-Beuren syndrome chromosomal region 11 protein) (Williams-Beuren syndrome chromosomal region 12 protein)	GTF2IRD1	CREAM1 GTF3 MUSTRD1 RBAP2 WBSCR11 WBSCR12	4661;		9569;	yes
0.5.1.0.2	Yet undefined DNA-binding domains	GTF2I domain factors	TFII-I-related		Q9JI57	http://genexplain.com/tfclass/huTF_classification.html	GT2D1_MOUSE	General transcription factor II-I repeat domain-containing protein 1 (GTF2I repeat domain-containing protein 1) (Binding factor for early enhancer)	Gtf2ird1	Ben		1861942;	57080;	yes
0.5.1.0.3	Yet undefined DNA-binding domains	GTF2I domain factors	TFII-I-related		Q99NI3	http://genexplain.com/tfclass/huTF_classification.html	GT2D2_MOUSE	General transcription factor II-I repeat domain-containing protein 2 (GTF2I repeat domain-containing protein 2) (Transcription factor GTF2IRD2)	Gtf2ird2			2149780;	114674;	yes
0.5.1.0.3	Yet undefined DNA-binding domains	GTF2I domain factors	TFII-I-related		Q86UP8	http://genexplain.com/tfclass/huTF_classification.html	GTD2A_HUMAN	General transcription factor II-I repeat domain-containing protein 2A (GTF2I repeat domain-containing protein 2A) (Transcription factor GTF2IRD2-alpha)	GTF2IRD2	GTF2IRD2A	30775;		84163;	yes
0.5.1.0.4	Yet undefined DNA-binding domains	GTF2I domain factors	TFII-I-related		Q6EKJ0	http://genexplain.com/tfclass/huTF_classification.html	GTD2B_HUMAN	General transcription factor II-I repeat domain-containing protein 2B (GTF2I repeat domain-containing protein 2B) (Transcription factor GTF2IRD2-beta)	GTF2IRD2B		33125;		389524;	yes
0.6.1.0.1	Yet undefined DNA-binding domains	CG-1 domain factors	CAMTA		Q9Y6Y1	http://genexplain.com/tfclass/huTF_classification.html	CMTA1_HUMAN	Calmodulin-binding transcription activator 1	CAMTA1	KIAA0833	18806;		23261;	no
0.6.1.0.1	Yet undefined DNA-binding domains	CG-1 domain factors	CAMTA		A2A891	http://genexplain.com/tfclass/huTF_classification.html	CMTA1_MOUSE	Calmodulin-binding transcription activator 1	Camta1	Kiaa0833		2140230;	100072;	no
0.6.1.0.2	Yet undefined DNA-binding domains	CG-1 domain factors	CAMTA		O94983	http://genexplain.com/tfclass/huTF_classification.html	CMTA2_HUMAN	Calmodulin-binding transcription activator 2	CAMTA2	KIAA0909	18807;		23125;	no
0.6.1.0.2	Yet undefined DNA-binding domains	CG-1 domain factors	CAMTA		Q80Y50	http://genexplain.com/tfclass/huTF_classification.html	CMTA2_MOUSE	Calmodulin-binding transcription activator 2	Camta2	Kiaa0909		2135957;	216874;	no
1.1.0.1.1	Basic domains	Basic leucine zipper factors (bZIP)	ZIP only	TSC22	Q15714	http://genexplain.com/tfclass/huTF_classification.html	T22D1_HUMAN	TSC22 domain family protein 1 (Cerebral protein 2) (Regulatory protein TSC-22) (TGFB-stimulated clone 22 homolog) (Transforming growth factor beta-1-induced transcript 4 protein)	TSC22D1	KIAA1994 TGFB1I4 TSC22	16826;		8848;	no
1.1.0.1.1	Basic domains	Basic leucine zipper factors (bZIP)	ZIP only	TSC22	P62500	http://genexplain.com/tfclass/huTF_classification.html	T22D1_MOUSE	TSC22 domain family protein 1 (Regulatory protein TSC-22) (TGFB-stimulated clone 22 homolog) (TSC22-related inducible leucine zipper 1b) (Transforming growth factor beta-1-induced transcript 4 protein)	Tsc22d1	Kiaa1994 Tgfb1i4 Tilz1b Tsc22		109127;	21807;	no
1.1.0.1.2	Basic domains	Basic leucine zipper factors (bZIP)	ZIP only	TSC22	O75157	http://genexplain.com/tfclass/huTF_classification.html	T22D2_HUMAN	TSC22 domain family protein 2 (TSC22-related-inducible leucine zipper protein 4)	TSC22D2	KIAA0669 TILZ4	29095;		9819;	no
1.1.0.1.3	Basic domains	Basic leucine zipper factors (bZIP)	ZIP only	TSC22	Q99576	http://genexplain.com/tfclass/huTF_classification.html	T22D3_HUMAN	TSC22 domain family protein 3 (DSIP-immunoreactive peptide) (Protein DIP) (hDIP) (Delta sleep-inducing peptide immunoreactor) (Glucocorticoid-induced leucine zipper protein) (GILZ) (TSC-22-like protein) (TSC-22-related protein) (TSC-22R)	TSC22D3	DSIPI GILZ	3051;		1831;	no
1.1.0.1.3	Basic domains	Basic leucine zipper factors (bZIP)	ZIP only	TSC22	Q9Z2S7	http://genexplain.com/tfclass/huTF_classification.html	T22D3_MOUSE	TSC22 domain family protein 3 (Glucocorticoid-induced leucine zipper protein) (TSC22-related-inducible leucine zipper 3) (Tilz3)	Tsc22d3	Dsip1 Dsipi Gilz		1196284;	14605;	no
1.1.0.1.4	Basic domains	Basic leucine zipper factors (bZIP)	ZIP only	TSC22	Q9Y3Q8	http://genexplain.com/tfclass/huTF_classification.html	T22D4_HUMAN	TSC22 domain family protein 4 (TSC22-related-inducible leucine zipper protein 2) (Tsc-22-like protein THG-1)	TSC22D4	THG1 TILZ2	21696;		81628;	no
1.1.0.1.4	Basic domains	Basic leucine zipper factors (bZIP)	ZIP only	TSC22	Q9EQN3	http://genexplain.com/tfclass/huTF_classification.html	T22D4_MOUSE	TSC22 domain family protein 4 (TSC22-related-inducible leucine zipper protein 2) (Thg-1pit)	Tsc22d4	Thg1pit Tilz2		1926079;	78829;	no
1.1.0.2.1	Basic domains	Basic leucine zipper factors (bZIP)	ZIP only	UTF	Q5T230	http://genexplain.com/tfclass/huTF_classification.html	UTF1_HUMAN	Undifferentiated embryonic cell transcription factor 1	UTF1		12634;		8433;	no
1.1.0.2.1	Basic domains	Basic leucine zipper factors (bZIP)	ZIP only	UTF	Q6J1H4	http://genexplain.com/tfclass/huTF_classification.html	UTF1_MOUSE	Undifferentiated embryonic cell transcription factor 1	Utf1			1276125;	22286;	no
1.1.1.1.1	Basic domains	Basic leucine zipper factors (bZIP)	Jun-related	Jun	P05412	http://tfclass.bioinf.med.uni-goettingen.de/	JUN_HUMAN	Transcription factor AP-1 (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (V-jun avian sarcoma virus 17 oncogene homolog) (p39)	JUN		6204;		3725;	yes
1.1.1.1.1	Basic domains	Basic leucine zipper factors (bZIP)	Jun-related	Jun	P05627	http://tfclass.bioinf.med.uni-goettingen.de/	JUN_MOUSE	Transcription factor AP-1 (AH119) (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (V-jun avian sarcoma virus 17 oncogene homolog) (Jun A)	Jun			96646;	16476;	yes
1.1.1.1.2	Basic domains	Basic leucine zipper factors (bZIP)	Jun-related	Jun	P17275	http://tfclass.bioinf.med.uni-goettingen.de/	JUNB_HUMAN	Transcription factor jun-B	JUNB		6205;		3726;	yes
1.1.1.1.2	Basic domains	Basic leucine zipper factors (bZIP)	Jun-related	Jun	P09450	http://tfclass.bioinf.med.uni-goettingen.de/	JUNB_MOUSE	Transcription factor jun-B (MyD21)	Junb	Jun-b		96647;	16477;	yes
1.1.1.1.3	Basic domains	Basic leucine zipper factors (bZIP)	Jun-related	Jun	P17535	http://tfclass.bioinf.med.uni-goettingen.de/	JUND_HUMAN	Transcription factor jun-D	JUND		6206;		3727;	yes
1.1.1.1.3	Basic domains	Basic leucine zipper factors (bZIP)	Jun-related	Jun	P15066	http://tfclass.bioinf.med.uni-goettingen.de/	JUND_MOUSE	Transcription factor jun-D	Jund	Jun-d Jund1		96648;	16478;	yes
